,address,location
0,"전라북도 군산시 동장산로 172, (소룡동)",1타타대우상용차신협
1,"전라북도 군산시 동장산로 172, (소룡동) 1층",2타타대우상용차신협
2,"서울특별시 강북구 삼양로139길 8, (우이동)",419사거리점
3,"서울특별시 영등포구 63로 50,  하(여의도동)",63빌딩점
4,인천광역시 남구 장고개로 48 믿음슈퍼,6공단1호점
5,"서울특별시 강북구 삼양로139길 8, (우이동)",419사거리점
6,"서울특별시 영등포구 63로 50,  하(여의도동)",63빌딩점
7,"서울특별시 강서구 공항대로 376, 체육관 1체육관 內(화곡동) 88호",88체육관점
8,서울특별시 영등포구 영등포로3길 16,CK양평점
9,"서울특별시 송파구 송이로27길 6,  (가락동)",JJ가락점
10,"서울특별시 송파구 양재대로 1222, 방이동 (방이동)",JJ올림픽점
11,"서울특별시 서초구 남부순환로 2477, JWTOWER  (서초동)",JW타워점
12,서울특별시 서대문구 통일로 384 독립문주유소 1층,KH독립문주유소점
13, ,KH외발산주유소점
14,"서울특별시 영등포구 영신로 220, (영등포동8가) 1층 104호",KT지식센터점
15,"서울특별시 강남구 테헤란로 101, 강남역구내상가 번호(역삼동)",M강남역점
16,"서울특별시 광진구 아차산로 243, 구내상가 번호 04 선 건대입구역(화양동) 2층층",M건대입구역점
17,"서울특별시 광진구 아차산로 384-1, (구의동, 2호선 구의역)",M구의역점
18,서울특별시 영등포구 대림로 지하 137 대림역,M대림역점
19,"서울특별시 강북구 도봉로 200, 선미아역구내상가 번호 05(미아동)",M미아역점
20,서울특별시 동작구 동작대로 지하 3 사당역(4호선) (사당동) 사당역(4호선),M사당폰토피아점
21,"서울특별시 구로구 새말로 117-21, 구내상가 번호(신도림동)",M신도림역점
22,"서울특별시 마포구 신촌로 90, 구내상가 번호(노고산동)",M신촌역점
23,"서울특별시 서초구 남부순환로 2585, 선양재역구내상가 번호08(서초동) 지하1층층",M양재역점
24,"서울특별시 강남구 테헤란로 156, (역삼동)",M역삼역점
25,서울특별시 송파구 올림픽로 305 잠실역8호선 -1층 E호,M잠실롯데타워점
26,"서울특별시 송파구 올림픽로 265, 서울메트로 2호선 잠실역(잠실동) 1층 216동 02호",M잠실역점
27,"서울특별시 송파구 올림픽로 23, 서울메트로 2호선(잠실동) 지하층 218동 02호",M종합운동장역점
28,"서울특별시 중구 퇴계로 지하 199, 충무로역3 423동 4호 선 109호(필동2가)",M충무로역점
29,"서울특별시 서대문구 통일로 440-1, 선홍제역 지하(홍제동) 지하2층",M홍제역점
30,"서울특별시 양천구 목동서로 161, S방송센터  SB 내(목동) B1층",SBS목동신사옥점
31,"서울특별시 동작구 시흥대로 616, (신대방동)",SK21세기주유소점
32,"서울특별시 양천구 신목로7길 1, (신정동)",SKKOREA주유소점
33,"서울특별시 강서구 강서로 498, (가양동) 1층",SK가양주유소점
34,"서울특별시 성북구 보문로 89, (보문동5가) 1층",SK광덕주유소점
35,"서울특별시 양천구 목동서로 161, S방송센터  SB 내(목동) B1층",SBS목동신사옥점
36,"서울특별시 동작구 시흥대로 616, (신대방동)",SK21세기주유소점
37,"서울특별시 양천구 신목로7길 1, (신정동)",SKKOREA주유소점
38,"서울특별시 강서구 강서로 498, (가양동) 1층",SK가양주유소점
39,"서울특별시 성북구 보문로 89, (보문동5가) 1층",SK광덕주유소점
40,서울특별시 영등포구 선유로52길 5 (양평동4가),SK기린주유소점
41,"서울특별시 강동구 천호대로 1246, (둔촌동) 1층",SK길동고속주유소점
42,"서울특별시 양천구 남부순환로 553, 남부셀프주유소  (신월동) 1층",SK남부셀프주유소점
43,"서울특별시 영등포구 경인로 822, (영등포동) 1층",SK남부주유소점
44,"서울특별시 노원구 노해로75길 20-25, (상계동)",SK노원역주유소점
45,서울특별시 영등포구 선유로52길 5 (양평동4가),SK기린주유소점
46,"서울특별시 강동구 천호대로 1246, (둔촌동) 1층",SK길동고속주유소점
47,"서울특별시 양천구 남부순환로 553, 남부셀프주유소  (신월동) 1층",SK남부셀프주유소점
48,"서울특별시 영등포구 경인로 822, (영등포동) 1층",SK남부주유소점
49,"서울특별시 노원구 노해로75길 20-25, (상계동)",SK노원역주유소점
50,"서울특별시 송파구 오금로 143, (방이동) 1층",SK백제고분로주유소점
51,"서울특별시 종로구 종로 26, SK빌딩  지하(서린동)",SK서린사옥점
52,"서울특별시 서대문구 성산로 255, (연희동) 1층",SK서부주유소점
53,"서울특별시 관악구 남부순환로 1880, (봉천동) 1층",SK신봉천주유소점
54,서울특별시 구로구 경인로 161 (오류동),SK신오류주유소점
55,"서울특별시 성북구 화랑로 293, (장위동) 1층",SK장삼주유소점
56,서울특별시 종로구 율곡로 58 (경운동),SK재동주유소점
57,"서울특별시 중랑구 망우로 247, (중화동) 1층",SK중랑교주유소점
58,"서울특별시 마포구 양화로 13, (합정동)",SK합정주유소점
59,"서울특별시 강서구 화곡로 273, (화곡동)",SK해바라기주유소점
60,"서울특별시 용산구 한남대로 204, (한남동)",SK흥국주유소점
61,"서울특별시 영등포구 여의동로 280 (여의도동, 아라호선착장)",S여의도선착장3호점
62,"서울특별시 송파구 동남로18길 14, (가락동)",가락극동점
63,"서울특별시 송파구 중대로9길 56, 소담빌딩  (가락동)",가락대림점
64,"서울특별시 송파구 송이로14길 24, (가락동, 그랜드) 1층 101호",가락동부점
65,"서울특별시 용산구 한남대로 204, (한남동)",SK흥국주유소점
66,"서울특별시 영등포구 여의동로 280 (여의도동, 아라호선착장)",S여의도선착장3호점
67,"서울특별시 송파구 동남로18길 14, (가락동)",가락극동점
68,"서울특별시 송파구 중대로9길 56, 소담빌딩  (가락동)",가락대림점
