,address,location
0,"서울 양천구 목동서로159-1 (목1동 917-1, CBS방송국1층)",GS25CBS점
1,"서울 마포구 매봉산로75, 1층 107호 (상암동 1610)",GS25DDMC점
2,서울 중구 을지로281 (을지로7가 2-1),GS25DDP점
3,서울 서대문구 남가좌동124-1번지 DMC파크뷰자이 203동 101호,GS25DMC가재울점
4,서울 강동구 고덕로39 (암사3동 441-14),GS25G고덕점
5,서울 영등포구 국회대로746 (여의도동 17-2),GS25G국회대로점
6,"서울 서초구 남부순환로2451 (서초1동 1426-13, 연일주유소)",GS25G서초연일점
7,"서울 서초구 나루터로83 (잠원동 13-6, 남서울주유소)",GS25G신사남서울점
8,"서울 영등포구 은행로64, GS칼텍스內편의점(여의도동 10-1)",GS25G여의도점
9,서울 성동구 왕십리로125 (성수동1가 656-292),GS25KD사옥점
10,"서울 종로구 새문안로58, 지하2층 (신문로2가 92, LG광화문빌딩)",GS25LG광화문점
11,"서울 강서구 마곡중앙10로10, 지하1층 (마곡동 770, 엘지사이언스파크)",GS25LG사이언스파크점
12,"서울 용산구 한강대로32, 지하1층 (한강로3가 65-228, 엘지유플러스)",GS25LG유플러스용산점
13,"서울 마포구 양화로19, 101호 (합정동 471, 지하1층)",GS25LIG합정점
14,"서울 강동구 구천면로200, 강동지사 4층 (천호동 419-3, 한국마사회)",GS25R강동4점
15,"서울 강동구 구천면로200, 마사회 강동지사 5층 (천호동 419-3)",GS25R강동5점
16,"서울 강북구 도봉로302, 4층 (번동 449-6, 한국마사회강북지점)",GS25R강북4점
17,"서울 강북구 도봉로302, 6층 (번동 449-6, 한국마사회강북지점)",GS25R강북6점
18,"서울 도봉구 노해로67길14, 4층 (창동 8, 한국마사회)",GS25R도봉4점
19,"서울 도봉구 노해로67길14, 8층 일부 (창동 8, 한국마사회창동지점)",GS25R도봉8점
20,"서울 강남구 도산대로529, 4층 (청담동 125-17, KRA프라자)",GS25R서울강남4점
21,"서울 강남구 테헤란로416, 마사회선릉지사 7층 (대치동 890-8, 연봉빌딩)",GS25R선릉7점
22,"서울 영등포구 영중로8길14, 4층 (영등포동3가 18, 영등포케이빌딩)",GS25R영등포4점
23,"서울 영등포구 영중로8길14, 6층 (영등포동3가 18, 영등포케이빌딩)",GS25R영등포6점
24,"서울 영등포구 영중로8길14, 8층 (영등포동3가 18, 마사회)",GS25R영등포8점
25,"서울 종로구 난계로29길49, 2층 (숭인동 201-18, 한국마사회 종로지사)",GS25R종로2점
26,"서울 성북구 종암로지하 1, 6호선 고려대역 지하철역사 (종암동 29-18)",GS25S6고려대역점
27,"서울 마포구 백범로지하 200, 지하1층 (공덕동 439, 공덕역)",GS25S6공덕역점
28,"서울 마포구 독막로지하 165, 6호 호선 광흥창역 (창전동 145-17)",GS25S6광흥창역점
29,"서울 은평구 연서로지하 137-1, 6호선 구산역 지하1층 1001호 (구산동)",GS25S6구산역점
30,"서울 용산구 녹사평대로지하 195, 지하 (용산동4가 4)",GS25S6녹사평역점
31,"서울 마포구 대흥로지하 85, 6호 호선 대흥역 (대흥동 128-1)",GS25S6대흥역점
32,"서울 은평구 불광로지하 129-1, 지하1층 1001호 (불광동 13-33)",GS25S6독바위역점
33,"서울 성북구 화랑로지하 243, 지하철 역사 (석관동 349-8, 6호선)",GS25S6돌곶이역점
34,서울 종로구 지봉로지하 24 (숭인동 316-3),GS25S6동묘앞역점
35,"서울 마포구 월드컵로지하 190 (성산동 592, 마포구청역)",GS25S6마포구청역점
36,"서울 마포구 월드컵로지하 77, 6호 호선 망원역 (망원동 378)",GS25S6망원역점
37,"서울 성북구 보문로지하 116 (보문동1가 127-1, 6호선 보문역역사)",GS25S6보문역점
38,"서울 중랑구 신내동643-3번지 , 6호선 지하철 역사 내",GS25S6봉화산역점
39,"서울 은평구 통일로지하 723-1, 6호선 불광역 지하2층 2002호 (대조동 14-1)",GS25S6불광역점
40,"서울 용산구 한강대로지하 185, 지하3층 (한강로1가 228-1, 6호선 삼각지역)",GS25S6삼각지역점
41,"서울 마포구 독막로지하 85, 6호 호선 상수역 (상수동 309-10)",GS25S6상수역점
42,서울 은평구 증산동223-27번지 6호선 DMC역 지하1층,GS25S6상암DMC역2점
43,"서울 성북구 화랑로지하 157, 지하철 6호선 상월곡역 역사 내 (상월곡동 26-1)",GS25S6상월곡역점
44,"서울 은평구 증산로지하 400, 지하1층 1001호 (신사동 337-5, 6호선 새절역사무소)",GS25S6새절역점
