,address,location
0,서울특별시 강남구 개포로109길 5 강남종합사회복지관 1층 102호(개포동),강남대청점
1,서울특별시 강남구 논현로57길 24 1층,강남도곡로점
2,서울특별시 강남구 남부순환로361길 6 1층 106호 (도곡동),강남도곡점
3,"서울특별시 강남구 선릉로64길 15 1층 2호, 2호-1(대치동)",강남롯데점
4,서울특별시 강남구 언주로98길 37 ,강남선릉점
5,서울특별시 강남구 테헤란로53길 62 101호,강남언주로점
6,서울특별시 강남구 논현동 261 현대인텔렉스빌딩 지하1층 1호,강남인텔렉스점
7,서울특별시 강남구 일원로 95 (일원동),강남일원점
8,"서울특별시 강남구 학동로82길 21 (삼성동64, 제1층 코너상가)",강남청담점
9,"서울특별시 강남구 역삼동 825-20(테헤란로4길 6,126호)",강남푸르지오시티점
10,서울특별시 강남구 언주로150길 51,강남학동점
11,서울특별시 강남구 테헤란로 7길 8 ,강남IBC점
12,서울특별시 강남구 선릉로69길 7 (역삼동),강남SLI점
13,서울특별시 강남구 봉은사로37길 28 (논현동),강남YMCA점
14,서울특별시 강남구 선릉로 48 (개포동),개포1호점
15,서울특별시 강남구 개포로 512(개포동),개포2호점
16,서울특별시 강남구 삼성로4길 17 주공아파트 상가동 105호,개포5단지점
17,서울특별시 강남구 논현로4길 22 ,개포그린점
18,서울특별시 강남구 개포로28길 15 1층(개포동),개포본점
19,서울특별시 강남구 삼성로 38 개포빌딩 1층,개포주공점
20,"서울특별시 강남구 선릉로4길 5 제경빌딩 제1층 1,2호(개포동)",개포타운점
21,서울특별시 강남구 개포로 265 개포동 105호,개포현대점
22,"서울특별시 강남구 봉은사로 129,1층 3호 (논현동, 거평타운오피스텔)",거평타운점
23,서울특별시 강남구 영동대로 513 B21호(삼성동),공항타워점
24,서울특별시 강남구 선릉로131길 4 (논현동),논현11호점
25,서울특별시 강남구 강남대로 128길 48(논현동),논현12호점
26,서울특별시 강남구 학동로43길 14 (논현동),논현13호점
27,서울특별시 강남구 논현로149길 35 (논현동),논현14호점
28,서울특별시 강남구 언주로 712 (논현동),논현2호점
29,서울특별시 강남구 논현로 720(논현동),논현4호점
30,서울특별시 강남구 도산대로46길 11 (논현동),논현6호점
31,"서울특별시 강남구 학동로37길 23, 1층 103호(논현동)",논현건설회관점
32,서울특별시 강남구 봉은사로43길 21(논현동),논현경복점
33,서울특별시 강남구 도산대로 30길 8 (논현동),논현본점
